epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.32,2.2972,4.56929,2.24077,0.02118,0.26667,0.0131,0.00325,2.60234,5.00745,2.56752,0.00066,0.00066,0.00066
2,44.9589,2.27031,3.75431,2.17745,0.00349,0.0303,0.00068,0.00019,3.43181,9.17212,4.06191,0.001261,0.001261,0.001261
3,65.7714,2.2998,3.60335,2.13078,0.06444,0.08485,0.03434,0.00935,2.75742,3.52388,2.44676,0.00179599,0.00179599,0.00179599
4,86.6162,2.27305,3.22655,2.10388,0.01944,0.62424,0.05196,0.01389,2.40914,3.36302,2.43351,0.001703,0.001703,0.001703
5,107.088,2.27933,3.08066,2.13868,0.19469,0.24242,0.1295,0.03218,2.40815,5.43779,2.36901,0.001604,0.001604,0.001604
6,128.307,2.19757,2.97903,2.0497,0.14932,0.33939,0.11999,0.0339,2.37985,3.1572,2.18922,0.001505,0.001505,0.001505
7,150.471,2.1352,2.84351,2.04644,0.13073,0.23426,0.09093,0.02694,2.65896,4.67152,2.44842,0.001406,0.001406,0.001406
8,171.196,2.12986,2.80989,1.94769,0.25594,0.18788,0.15182,0.0414,2.44348,2.92716,2.14496,0.001307,0.001307,0.001307
9,192.067,2.11331,2.66447,1.90445,0.29355,0.32727,0.24606,0.06909,2.31998,2.53251,2.07494,0.001208,0.001208,0.001208
10,213.239,2.09569,2.62749,1.90996,0.21548,0.33333,0.16802,0.05622,2.23157,2.71103,2.0633,0.001109,0.001109,0.001109
11,233.619,2.15569,2.88527,2.0456,0.21353,0.48485,0.23728,0.07931,2.15993,3.15411,2.12086,0.00101,0.00101,0.00101
12,254.165,2.16869,2.71249,2.0465,0.31768,0.30303,0.22646,0.07207,2.12315,2.85607,2.0792,0.000911,0.000911,0.000911
13,274.817,2.1161,2.60643,2.0003,0.27726,0.1697,0.18696,0.07157,2.22185,2.71081,2.01156,0.000812,0.000812,0.000812
14,295.381,2.09244,2.5923,1.97579,0.29904,0.25455,0.23079,0.08452,2.11058,2.51676,1.98393,0.000713,0.000713,0.000713
15,315.245,1.99049,2.66026,1.90544,0.31319,0.29091,0.25933,0.09364,2.13123,2.42031,1.98112,0.000614,0.000614,0.000614
16,334.961,2.04054,2.53507,1.93188,0.32275,0.29697,0.27034,0.09017,2.19687,2.52354,2.03462,0.000515,0.000515,0.000515
17,354.525,1.98298,2.40925,1.9182,0.33192,0.33333,0.27966,0.0955,2.07351,2.53057,1.96522,0.000416,0.000416,0.000416
18,375.601,1.98842,2.47354,1.91027,0.31743,0.32121,0.27318,0.09472,2.18407,2.40311,1.97156,0.000317,0.000317,0.000317
19,396.635,1.96522,2.42842,1.84908,0.35017,0.31515,0.28745,0.09321,2.09323,2.34366,1.92718,0.000218,0.000218,0.000218
20,416.398,1.91219,2.21862,1.84431,0.36383,0.36364,0.33985,0.12149,2.09244,2.33283,1.93071,0.000119,0.000119,0.000119
